Hogar,EXCLUIR,paraValidacion,Sector,DirCoordX,DirCoordY,MontoArr,IngresoHogar,Factor,AnosEstudio,CLASE,Sup_Prom_Constr_Hab_EOD,Calid_EOD_norm_inv,DensConstr_EOD,Dist_est_Metro_MC_KM,Dist_salida_Autop_MC_KM,Tiempo_Com_Stgo,Ingreso_Promedio_Zona_MM,Acc_Comercio_tpte_pub,Acc_Educacion_tpte_pub,Acc_Habitacion_tpte_pub,Acc_Industria_tpte_pub,Acc_Servicios_tpte_pub,Acc_Comercio_auto,Acc_Educacion_auto,Acc_Habitacion_auto,Acc_Industria_auto,Acc_Servicios_auto,CLUSTER7,CLUSTER2
136691,1,1,6,353144.0005,6289345.378,219745,1093753,94.978065,17,3,49.5,0.36,0.354,1.428411591,1.564031322,55,0.819777625,4031.3534,2522.31819,39481.29559,2704.73018,4130.09538,5890.48,3579.54,62180.16,4917.65,5803.85,2,1
136702,0,0,6,354228.642,6285769.788,150000,400172,84.733467,12,2,44.9,0.36,0.334,1.432755073,4.340348868,61,0.626168222,1629.35956,1107.57435,19379.32584,832.87187,1413.4409,4986.48,3108.64,54284.92,4127.83,4818.61,5,1
136711,0,0,6,350745.1121,6288470.383,137633,245000,100.729408,7,1,43.2,0.36,0.25,0.269732092,0.053150717,44,0.698648,3562.22593,2270.7356,35104.51421,2429.59811,3703.45454,6481.42,3919.75,67217.06,5633.9,6378.26,2,1
136721,0,0,6,354399.4868,6287638.911,162752,626011,65.175896,14,2,58.7,0.36,0.212,1.941173963,3.598393307,54,1.01821785,1851.88837,1166.76243,18756.38874,1174.36185,1678.57259,5808.29,3521.58,61247.9,4829.91,5758.9,2,1
136731,0,0,6,350488.0985,6286269.498,100000,206529,117.48922,12,2,35.2,0.36,0.341,1.385343862,1.42774307,61,0.503767691,2039.17027,1412.88879,22779.28728,1238.01826,2038.18005,6021.12,3690.31,63774.06,5138.22,5905.61,5,1
136742,0,0,6,355382.6273,6287472.383,250000,2713188,65.175896,19,3,58.7,0.36,0.212,2.857369529,4.47425215,54,1.01821785,1851.88837,1166.76243,18756.38874,1174.36185,1678.57259,5808.29,3521.58,61247.9,4829.91,5758.9,2,1
136750,0,0,6,355431.1204,6287404.57,250000,558194,68.12159,17,3,58.7,0.36,0.212,2.895229799,4.555856286,54,1.01821785,1851.88837,1166.76243,18756.38874,1174.36185,1678.57259,5808.29,3521.58,61247.9,4829.91,5758.9,2,1
136760,0,0,6,351424.9446,6288176.644,138185,565251,86.165665,9,1,37.3,0.36,0.237,0.699144415,0.71789495,53,0.55521735,4099.21757,2580.22357,40174.09796,2719.01374,4111.6854,6431.99,3893.21,67346.55,5452.64,6359.59,5,1
136771,0,0,6,351451.6209,6288116.36,190008,443047,75.520546,12,2,37.3,0.36,0.237,0.671389155,0.764738202,53,0.55521735,4099.21757,2580.22357,40174.09796,2719.01374,4111.6854,6431.99,3893.21,67346.55,5452.64,6359.59,5,1
136781,0,0,6,351548,6285966,150000,874161,162.200012,10,1,41.6,0.36,0.252,1.189822279,2.106815551,66,0.630005143,2870.97684,1825.7668,31624.98792,1735.25603,2843.52826,5729.73,3539.16,61213.1,4877.73,5599.47,5,1
